Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/11/2023,Presenze al 16/11/2023,2023-11-17 15:31:50.351708
7,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,119961.24,16201,5352283.74,749598,2024-01-21 10:05:52.725231
8,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,112580.46,16206,8942747.11,1280086,2024-01-21 10:05:52.725231
9,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,110472.00,14981,861476.85,124442,2024-01-21 10:05:52.725231
10,IL FANTASMA DI CANTERVILLE (THE CANTERVILLE GHOST),'2024-01-18'18/01/2024,GBR,ADLER ENTERTAINMENT S.R.L.,96781.83,14336,120999.99,18350,2024-01-21 10:05:52.725231
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 21/01/2024,Presenze al 21/01/2024,2024-01-22 09:28:32.909836
1,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,617236.73,84341,1335227.05,181865,2024-01-22 09:28:32.909836
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,389204.28,55007,2981337.36,435315,2024-01-22 09:28:32.910836
3,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,240164.46,33623,580433.78,82402,2024-01-22 09:28:32.910836
4,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,197684.71,26260,14283154.68,1903884,2024-01-22 09:28:32.910836
5,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,184873.90,24433,6275160.26,850209,2024-01-22 09:28:32.910836
6,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,177669.83,21975,1485678.29,190619,2024-01-22 09:28:32.910836
7,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,163862.46,23458,9106863.57,1303583,2024-01-22 09:28:32.910836
8,IL FANTASMA DI CANTERVILLE (THE CANTERVILLE GHOST),'2024-01-18'18/01/2024,GBR,ADLER ENTERTAINMENT S.R.L.,159332.96,23392,280761.95,41803,2024-01-22 09:28:32.910836
9,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,141302.51,19418,5494273.25,769122,2024-01-22 09:28:32.910836
10,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,120089.02,16424,982512.37,141005,2024-01-22 09:28:32.910836
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 22/01/2024,Presenze al 22/01/2024,2024-01-23 11:19:46.135294
1,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,63337.13,10022,3047743.99,445807,2024-01-23 11:19:46.139294
2,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,62692.31,9644,1398947.86,191666,2024-01-23 11:19:46.139294
3,IL CACCIATORE 4K (RIED.),'2024-01-22'22/01/2024,USA,LUCKY RED DISTRIB.,49370.07,6640,49370.07,6640,2024-01-23 11:19:46.140295
4,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,37386.66,6192,618165.44,88650,2024-01-23 11:19:46.140295
5,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,33640.45,4988,6309619.21,855334,2024-01-23 11:19:46.140295
6,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,28809.98,3900,1514754.77,194558,2024-01-23 11:19:46.140295
7,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,26249.37,4712,35628572.63,5218232,2024-01-23 11:19:46.140295
8,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,16434.08,2368,14299999.26,1906317,2024-01-23 11:19:46.140295
9,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,15568.14,2438,998314.51,143483,2024-01-23 11:19:46.140295
10,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,11884.49,1813,5506486.74,770982,2024-01-23 11:19:46.141295
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 23/01/2024,Presenze al 23/01/2024,2024-01-24 09:12:39.616381
1,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,85489.61,13408,3133546.60,459277,2024-01-24 09:12:39.620383
2,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,84332.18,12565,1484522.04,204415,2024-01-24 09:12:39.620383
3,IL CACCIATORE 4K (RIED.),'2024-01-22'22/01/2024,USA,LUCKY RED DISTRIB.,77859.92,10075,128179.19,16859,2024-01-24 09:12:39.620383
4,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,54545.84,8932,672711.28,97582,2024-01-24 09:12:39.621385
5,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,43505.44,6453,6353299.65,861811,2024-01-24 09:12:39.621385
6,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,33363.24,4696,1548264.51,199277,2024-01-24 09:12:39.621385
7,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,31899.18,6045,35660751.81,5224343,2024-01-24 09:12:39.621385
8,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,23483.21,3650,1021797.72,147133,2024-01-24 09:12:39.621385
9,L'ULTIMA VOLTA CHE SIAMO STATI BAMBINI,'2023-10-12'12/10/2023,ITA,MEDUSA FILM S.P.A.,19515.84,4771,1589669.79,256213,2024-01-24 09:12:39.621385
10,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,18256.39,2710,14318413.65,1909050,2024-01-24 09:12:39.621385
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 24/01/2024,Presenze al 24/01/2024,2024-01-25 08:33:24.115884
1,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,118469.47,19189,1603253.51,223644,2024-01-25 08:33:24.115884
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,107449.12,18027,3241110.52,477324,2024-01-25 08:33:24.115884
3,IL CACCIATORE 4K (RIED.),'2024-01-22'22/01/2024,USA,LUCKY RED DISTRIB.,95734.09,12606,233465.84,30759,2024-01-25 08:33:24.115884
4,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,68773.50,11650,741663.58,109262,2024-01-25 08:33:24.115884
5,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,49074.46,7730,6402632.91,869587,2024-01-25 08:33:24.116884
6,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,38390.58,5727,1586916.29,205042,2024-01-25 08:33:24.116884
7,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,32217.04,5567,35692968.85,5229910,2024-01-25 08:33:24.116884
8,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,29933.37,5199,1051731.09,152332,2024-01-25 08:33:24.116884
9,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,21677.17,3614,5546002.04,777384,2024-01-25 08:33:24.116884
10,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,20825.60,3173,14339239.25,1912223,2024-01-25 08:33:24.116884
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 26/01/2024,Presenze al 26/01/2024,2024-01-27 08:30:35.071462
1,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,415541.15,53217,764986.38,99603,2024-01-27 08:30:35.075980
2,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,334975.57,47031,604438.72,85921,2024-01-27 08:30:35.075980
3,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,227024.75,29843,350897.09,46820,2024-01-27 08:30:35.075980
4,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,125630.85,17026,1792146.25,249666,2024-01-27 08:30:35.075980
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,88243.78,12927,3381024.76,498126,2024-01-27 08:30:35.075980
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,65107.70,9607,843290.10,124590,2024-01-27 08:30:35.075980
7,L'ULTIMA VOLTA CHE SIAMO STATI BAMBINI,'2023-10-12'12/10/2023,ITA,MEDUSA FILM S.P.A.,56475.02,13810,1706763.34,285026,2024-01-27 08:30:35.075980
8,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,53081.94,11412,2166997.82,316938,2024-01-27 08:30:35.076979
9,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,39212.25,5800,65658.96,9543,2024-01-27 08:30:35.076979
10,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,36451.37,4719,1642999.61,212398,2024-01-27 08:30:35.076979
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 27/01/2024,Presenze al 27/01/2024,2024-01-28 09:39:21.193691
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,663543.45,89201,1269083.67,175318,2024-01-28 09:39:21.195202
2,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,622528.01,76821,1389723.39,176733,2024-01-28 09:39:21.196203
3,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,406579.32,51748,758160.41,98667,2024-01-28 09:39:21.196203
4,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,321392.76,42714,2113921.51,292435,2024-01-28 09:39:21.196203
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,200787.07,27663,3582061.83,525833,2024-01-28 09:39:21.196203
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,165473.90,22777,1009496.00,147482,2024-01-28 09:39:21.196203
7,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,101995.82,14368,167654.78,23911,2024-01-28 09:39:21.196203
8,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,90849.93,12197,14462149.27,1929482,2024-01-28 09:39:21.196203
9,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,86347.29,10804,1729414.40,223213,2024-01-28 09:39:21.196203
10,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,76439.65,14752,2244162.47,331903,2024-01-28 09:39:21.196203
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 28/01/2024,Presenze al 28/01/2024,2024-01-29 07:56:56.276903
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,715372.66,96589,1989973.33,272700,2024-01-29 07:56:56.280903
2,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,554212.09,68948,1945059.48,245849,2024-01-29 07:56:56.280903
3,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,442859.22,56482,1202225.63,155281,2024-01-29 07:56:56.280903
4,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,329402.50,44983,2444886.26,337697,2024-01-29 07:56:56.280903
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,211569.93,29681,3793785.76,555539,2024-01-29 07:56:56.280903
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,158135.19,22107,1168692.19,169742,2024-01-29 07:56:56.281904
7,IL FANTASMA DI CANTERVILLE (THE CANTERVILLE GHOST),'2024-01-18'18/01/2024,GBR,ADLER ENTERTAINMENT S.R.L.,122839.34,18249,522119.70,78998,2024-01-29 07:56:56.281904
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,119766.44,16970,287421.22,40881,2024-01-29 07:56:56.281904
9,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,105246.34,14012,14567395.61,1943494,2024-01-29 07:56:56.281904
10,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,79208.20,11288,9290248.04,1331443,2024-01-29 07:56:56.281904
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 29/01/2024,Presenze al 29/01/2024,2024-01-30 10:26:00.309718
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,219914.04,32958,2213674.37,306203,2024-01-30 10:26:00.313184
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,165349.79,23296,1367575.42,178577,2024-01-30 10:26:00.313184
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,131346.08,18036,2077650.56,264070,2024-01-30 10:26:00.313184
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,49142.33,7750,3844384.29,563521,2024-01-30 10:26:00.314187
5,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,34299.76,7364,2325097.40,346931,2024-01-30 10:26:00.314187
6,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,31110.58,4772,2476901.84,342607,2024-01-30 10:26:00.314187
7,L'ULTIMA VOLTA CHE SIAMO STATI BAMBINI,'2023-10-12'12/10/2023,ITA,MEDUSA FILM S.P.A.,29281.81,6989,1768911.40,299515,2024-01-30 10:26:00.314187
8,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,25848.16,4298,1195536.35,174197,2024-01-30 10:26:00.314187
9,GENOA. COMUNQUE E OVUNQUE,'2024-01-29'29/01/2024,ITA,NEXO DIGITAL S.P.A.,24779.00,2726,34295.70,3834,2024-01-30 10:26:00.314187
10,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,21988.18,4388,35844599.89,5255246,2024-01-30 10:26:00.315188
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 30/01/2024,Presenze al 30/01/2024,2024-01-31 08:27:16.232424
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,281776.72,41872,2496974.09,348342,2024-01-31 08:27:16.235941
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,231623.45,32536,1599198.87,211113,2024-01-31 08:27:16.235941
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,137314.20,19020,2215079.76,283268,2024-01-31 08:27:16.236941
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,49906.34,7917,3895337.13,571605,2024-01-31 08:27:16.236941
5,IL BACIO DI KLIMT,'2024-01-30'30/01/2024,UKR,NEXO DIGITAL S.P.A.,45172.74,5231,45467.24,5265,2024-01-31 08:27:16.236941
6,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,39142.53,5813,2516099.37,348428,2024-01-31 08:27:16.236941
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,35527.53,5923,1232710.88,180344,2024-01-31 08:27:16.236941
8,PAST LIVES,'9999-99-99'- -,USA,LUCKY RED DISTRIB.,31059.15,4761,33800.65,5076,2024-01-31 08:27:16.236941
9,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,29840.63,6577,2355870.53,353775,2024-01-31 08:27:16.236941
10,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,27100.67,4455,334863.77,48736,2024-01-31 08:27:16.236941
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 31/01/2024,Presenze al 31/01/2024,2024-02-01 08:31:53.086071
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,344252.65,55165,2860039.17,406192,2024-02-01 08:31:53.090073
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,293412.94,44320,1931125.30,260712,2024-02-01 08:31:53.090073
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,144043.85,21529,2385217.06,308087,2024-02-01 08:31:53.091072
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,65694.27,11013,3963490.70,582983,2024-02-01 08:31:53.091072
5,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,54805.87,8760,2574336.26,357699,2024-02-01 08:31:53.091072
6,IL BACIO DI KLIMT,'2024-01-30'30/01/2024,UKR,NEXO DIGITAL S.P.A.,52421.25,6093,98771.99,11454,2024-02-01 08:31:53.091072
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,43437.68,7451,1278017.38,188089,2024-02-01 08:31:53.091072
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,42996.31,7421,379579.13,56394,2024-02-01 08:31:53.091072
9,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,30218.61,6760,2386687.08,360686,2024-02-01 08:31:53.091072
10,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,25396.13,4969,35897154.06,5265848,2024-02-01 08:31:53.092072
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 01/02/2024,Presenze al 01/02/2024,2024-02-02 07:48:54.861540
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,227443.97,32662,3087096.45,438867,2024-02-02 07:48:54.867776
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,205414.62,27810,2138332.90,288754,2024-02-02 07:48:54.867776
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,84178.70,11071,2470535.76,319141,2024-02-02 07:48:54.867776
4,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,34536.11,4935,34536.11,4935,2024-02-02 07:48:54.867776
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,33120.34,5135,3996727.88,588142,2024-02-02 07:48:54.867776
6,THE WARRIOR - THE IRON CLAW,'9999-99-99'- -,USA,EAGLE PICTURES S.P.A.,23407.59,3422,23407.59,3422,2024-02-02 07:48:54.868776
7,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,21796.82,3096,2597096.58,360963,2024-02-02 07:48:54.868776
8,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,21081.80,3201,1299399.06,191338,2024-02-02 07:48:54.868776
9,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,20925.33,3384,400705.47,59806,2024-02-02 07:48:54.868776
10,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,19255.96,3833,35917305.02,5269860,2024-02-02 07:48:54.868776
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 02/02/2024,Presenze al 02/02/2024,2024-02-03 09:53:08.262730
1,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,404187.59,53175,2543129.19,342035,2024-02-03 09:53:08.266737
2,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,350470.20,48624,3438587.85,487667,2024-02-03 09:53:08.266737
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,166055.53,21038,2636774.29,340204,2024-02-03 09:53:08.266737
4,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,68715.50,9300,103325.61,14245,2024-02-03 09:53:08.267736
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,55403.71,8098,4052460.59,596298,2024-02-03 09:53:08.267736
6,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,44510.69,6089,2641734.77,367077,2024-02-03 09:53:08.267736
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,42186.78,6200,1341821.84,197577,2024-02-03 09:53:08.267736
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,41338.75,6296,442327.22,66153,2024-02-03 09:53:08.267736
9,THE WARRIOR - THE IRON CLAW,'2024-02-01'01/02/2024,USA,EAGLE PICTURES S.P.A.,34881.31,4961,58310.90,8387,2024-02-03 09:53:08.267736
10,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,20926.32,4091,35938882.34,5274076,2024-02-03 09:53:08.267736
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 03/02/2024,Presenze al 03/02/2024,2024-02-04 16:01:25.137712
1,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,671746.02,84485,3216167.21,426667,2024-02-04 16:01:25.143239
2,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,649780.96,86226,4091202.91,574246,2024-02-04 16:01:25.143239
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,309535.16,38131,2946786.45,378389,2024-02-04 16:01:25.143239
4,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,178232.78,22517,282291.39,36848,2024-02-04 16:01:25.143239
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,138671.20,19080,4191179.79,615385,2024-02-04 16:01:25.144239
6,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,137293.02,18084,2779151.79,385175,2024-02-04 16:01:25.144239
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,121341.96,17003,1463706.30,214646,2024-02-04 16:01:25.144239
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,97130.21,13984,540020.83,80226,2024-02-04 16:01:25.144239
9,THE WARRIOR - THE IRON CLAW,'2024-02-01'01/02/2024,USA,EAGLE PICTURES S.P.A.,78260.09,10282,136771.19,18696,2024-02-04 16:01:25.144239
10,IL FANTASMA DI CANTERVILLE (THE CANTERVILLE GHOST),'2024-01-18'18/01/2024,GBR,ADLER ENTERTAINMENT S.R.L.,55201.52,8208,613483.79,93664,2024-02-04 16:01:25.145241
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 04/02/2024,Presenze al 04/02/2024,2024-02-05 08:28:02.309137
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,607897.01,81484,4705105.12,656587,2024-02-05 08:28:02.309137
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,506848.56,64243,3725568.77,491272,2024-02-05 08:28:02.309137
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,206960.85,25776,3155334.80,404376,2024-02-05 08:28:02.309137
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,142166.33,19948,4336430.52,635757,2024-02-05 08:28:02.309137
5,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,136925.97,18308,2917184.26,403678,2024-02-05 08:28:02.310138
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,122090.81,17604,1588626.71,232665,2024-02-05 08:28:02.310138
7,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,119093.13,15771,402588.32,52783,2024-02-05 08:28:02.310138
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,115458.37,16709,656908.50,97134,2024-02-05 08:28:02.310138
9,IL FANTASMA DI CANTERVILLE (THE CANTERVILLE GHOST),'2024-01-18'18/01/2024,GBR,ADLER ENTERTAINMENT S.R.L.,79007.34,11613,692589.63,105293,2024-02-05 08:28:02.310138
10,THE WARRIOR - THE IRON CLAW,'2024-02-01'01/02/2024,USA,EAGLE PICTURES S.P.A.,58038.95,7680,194874.14,26384,2024-02-05 08:28:02.310138
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 05/02/2024,Presenze al 05/02/2024,2024-02-06 08:30:09.318994
