daily_rank,title,first_screening_date,nation,distribution,daily_takings,daily_attendance,date_pulled,screening_days,date,day_of_week,avg_ticket_price
2,Hunger Games - La Ballata Dell'Usignolo E Del Serpente,2023-11-15,USA,Medusa Film S.P.A.,166521.4,23229,2023-11-21,10,2023-11-20,Monday,7.16868569460588
3,Dallamericaruso. Il Concerto Perduto,2023-11-20,ITA,Nexo Digital S.P.A.,71583.5,6870,2023-11-21,5,2023-11-20,Monday,10.419723435225619
4,The Marvels,2023-11-08,USA,Walt Disney S.M.P. Italia,33614.06,5191,2023-11-21,17,2023-11-20,Monday,6.475449816990945
5,Thanksgiving,2023-11-16,USA,Eagle Pictures S.P.A.,28604.53,4196,2023-11-21,9,2023-11-20,Monday,6.817094852240229
6,The Old Oak,2023-11-16,FRA,Lucky Red Distrib.,26959.02,4685,2023-11-21,9,2023-11-20,Monday,5.754326574172892
7,Comandante,2023-10-31,ITA,01 Distribution,19637.37,3455,2023-11-21,25,2023-11-20,Monday,5.683753979739508
8,Io Capitano,2023-09-07,COP,01 Distribution,14251.7,3374,2023-11-21,79,2023-11-20,Monday,4.22397747480735
9,Trolls 3 - Tutti Insieme (Trolls Band Together),2023-11-09,USA,Universal S.R.L.,13974.4,2376,2023-11-21,16,2023-11-20,Monday,5.881481481481481
10,Dream Scenario - Hai Mai Sognato Quest'Uomo?,2023-11-16,USA,I Wonder Pictures S.R.L.,12969.19,2175,2023-11-21,9,2023-11-20,Monday,5.9628459770114945
1,C'E' Ancora Domani,2023-10-26,ITA,Vision Distribution,526427.96,83328,2023-11-22,30,2023-11-21,Tuesday,6.317539842549923
